MIV;Datum Zeit;DiDok;Werk;Ort;Schaltfeld;(alt) TisID;Richtung;Linie;km_von;km_bis;U8min, mittel [kV];I8min, mittel [A];P = U*I ?  ;P8min, mittel [MW];Status Messung U;Status Messung I;Status Messung P;Anzahl beruecksichtigte Messungen U;Anzahl nicht beruecksichtigte Messungen U;Anzahl beruecksichtigte Messungen I;Anzahl nicht beruecksichtigte Messungen I;Anzahl beruecksichtigte Messungen P;Anzahl nicht beruecksichtigte Messungen P;Bemerkungen
39;11.01.2021 10:45;;;;;;;;;3.511939;15.41;227.9;3.51;3.08;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:50;;;;;;;;;3.1929537;15.49;206.13;3.19;2.65;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:55;;;;;;;;;2.371536;15.48;153.2;2.37;1.57;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:00;;;;;;;;;2.1371805;15.47;138.15;2.14;1.48;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:05;;;;;;;;;2.6032494;15.49;168.06;2.60;2.4;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:10;;;;;;;;;2.5389958;15.46;164.23;2.54;2.34;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:15;;;;;;;;;2.75032;15.5;177.44;2.75;2.27;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:20;;;;;;;;;3.24632;15.5;209.44;3.25;2.57;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:25;;;;;;;;;2.3819914;15.53;153.38;2.38;1.66;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:30;;;;;;;;;2.3411576;15.56;150.46;2.34;1.61;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:35;;;;;;;;;2.7251568;15.52;175.59;2.73;2.48;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:40;;;;;;;;;2.6490924;15.48;171.13;2.65;1.98;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:45;;;;;;;;;3.0913701;15.47;199.83;3.09;2.09;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:50;;;;;;;;;3.2290454;15.49;208.46;3.23;2.97;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 11:55;;;;;;;;;2.0037369;15.51;129.19;2.00;1.56;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:00;;;;;;;;;2.2502405;15.55;144.71;2.25;1.73;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:05;;;;;;;;;2.73328;15.53;176;2.73;2.35;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:10;;;;;;;;;2.6029396;15.49;168.04;2.60;2.12;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:15;;;;;;;;;3.028614;15.46;195.9;3.03;2.7;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:20;;;;;;;;;2.7071424;15.48;174.88;2.71;2.43;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:25;;;;;;;;;2.5843904;15.52;166.52;2.58;2.12;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:30;;;;;;;;;2.685796;15.55;172.72;2.69;2.09;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:35;;;;;;;;;3.2028624;15.52;206.37;3.20;2.9;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:40;;;;;;;;;2.8161588;15.47;182.04;2.82;2.33;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:45;;;;;;;;;2.6603759;15.47;171.97;2.66;2.27;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:50;;;;;;;;;2.2359664;15.52;144.07;2.24;2.01;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 12:55;;;;;;;;;1.6981984;15.52;109.42;1.70;1.05;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:00;;;;;;;;;2.5242462;15.53;162.54;2.52;1.74;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:05;;;;;;;;;3.2152593;15.49;207.57;3.22;2.8;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:10;;;;;;;;;2.4546636;15.48;158.57;2.45;2.17;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:15;;;;;;;;;3.1773786;15.51;204.86;3.18;2.41;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:20;;;;;;;;;3.6020282;15.53;231.94;3.60;2.56;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:25;;;;;;;;;3.4619476;15.53;222.92;3.46;2.97;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:30;;;;;;;;;2.5860213;15.57;166.09;2.59;2.03;ok;ok;ok;8;0;8;0;8;0;
